CATINIC;CATFIM;DESCRICAO;DESCRABREV;
G35;G37;Doenças desmielinizantes do sistema nervoso central;Doenças desmielinizantes do sist nervoso central;
G40;G47;Transtornos episódicos e paroxísticos;Transtornos episódicos e paroxísticos;
G50;G59;Transtornos dos nervos, das raízes e dos plexos nervosos;Transtornos dos nervos, raízes e plexos nervosos;
G60;G64;Polineuropatias e outros transtornos do sistema nervoso periférico;Polineuropatias e outr transt sist nerv periférico;
G70;G73;Doenças da junção mioneural e dos músculos;Doenças da junção mioneural e dos músculos;
G80;G83;Paralisia cerebral e outras síndromes paralíticas;Paralisia cerebral e outras síndromes paralíticas;
G90;G99;Outros transtornos do sistema nervoso;Outros transtornos do sistema nervoso;
H00;H06;Transtornos da pálpebra, do aparelho lacrimal e da órbita;Transtornos pálpebra, aparelho lacrimal e órbita;
H10;H13;Transtornos da conjuntiva;Transtornos da conjuntiva;
H15;H22;Transtornos da esclerótica, da córnea, da íris e do corpo ciliar;Transtorn esclerótica, córnea, íris e corpo ciliar;
H25;H28;Transtornos do cristalino;Transtornos do cristalino;
H30;H36;Transtornos da coróide e da retina;Transtornos da coróide e da retina;
H40;H42;Glaucoma;Glaucoma;
H43;H45;Transtornos do humor vítreo e do globo ocular;Transtornos do humor vítreo e do globo ocular;
H46;H48;Transtornos do nervo óptico e das vias ópticas;Transtornos do nervo óptico e das vias ópticas;
H49;H52;Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração;Transt músc oculares, movim binoc, acomod e refraç;
H53;H54;Transtornos visuais e cegueira;Transtornos visuais e cegueira;
H55;H59;Outros transtornos do olho e anexos;Outros transtornos do olho e anexos;
H60;H62;Doenças do ouvido externo;Doenças do ouvido externo;
H65;H75;Doenças do ouvido médio e da mastóide;Doenças do ouvido médio e da mastóide;
H80;H83;Doenças do ouvido interno;Doenças do ouvido interno;
H90;H95;Outros transtornos do ouvido;Outros transtornos do ouvido;
I00;I02;Febre reumática aguda;Febre reumática aguda;
I05;I09;Doenças reumáticas crônicas do coração;Doenças reumáticas crônicas do coração;
I10;I15;Doenças hipertensivas;Doenças hipertensivas;
I20;I25;Doenças isquêmicas do coração;Doenças isquêmicas do coração;
I26;I28;Doenças cardíaca pulmonar e da circulação pulmonar;Doenças cardíaca pulmonar e da circulação pulmonar;
I30;I52;Outras formas de doença do coração;Outras formas de doença do coração;
I60;I69;Doenças cerebrovasculares;Doenças cerebrovasculares;
I70;I79;Doenças das artérias, das arteríolas e dos capilares;Doenças das artérias, das arteríolas e capilares;
I80;I89;Doenças das veias, dos vasos linfáticos e dos gânglios linfáticos, não classificadas em outra parte;Doenças veias, vasos e gânglios linfáticos, NCOP;
I95;I99;Outros transtornos, e os não especificados do aparelho circulatório;Outros transt e os não espec aparelho circulatório;
J00;J06;Infecções agudas das vias aéreas superiores;Infecções agudas das vias aéreas superiores;
J09;J18;Influenza [gripe] e pneumonia;Influenza [gripe] e pneumonia;
J20;J22;Outras infecções agudas das vias aéreas inferiores;Outras infecções agudas das vias aéreas inferiores;
J30;J39;Outras doenças das vias aéreas superiores;Outras doenças das vias aéreas superiores;
J40;J47;Doenças crônicas das vias aéreas inferiores;Doenças crônicas das vias aéreas inferiores;
J60;J70;Doenças pulmonares devidas a agentes externos;Doenças pulmonares devidas a agentes externos;
J80;J84;Outras doenças respiratórias que afetam principalmente o interstício;Outras doenças respirat q afetam princ interstício;
J85;J86;Afecções necróticas e supurativas das vias aéreas inferiores;Afecções necróticas e supurat vias aéreas infer;
J90;J94;Outras doenças da pleura;Outras doenças da pleura;
J95;J99;Outras doenças do aparelho respiratório;Outras doenças do aparelho respiratório;
K00;K14;Doenças da cavidade oral, das glândulas salivares e dos maxilares;Doenças cavidade oral, glând salivares e maxilares;
K20;K31;Doenças do esôfago, do estômago e do duodeno;Doenças do esôfago, do estômago e do duodeno;
K35;K38;Doenças do apêndice;Doenças do apêndice;
K40;K46;Hérnias;Hérnias;
K50;K52;Enterites e colites não-infecciosas;Enterites e colites não-infecciosas;
K55;K63;Outras doenças dos intestinos;Outras doenças dos intestinos;
K65;K67;Doenças do peritônio;Doenças do peritônio;
K70;K77;Doenças do fígado;Doenças do fígado;
K80;K87;Transtornos da vesícula biliar, das vias biliares e do pâncreas;Transt vesícula biliar, vias biliares e pâncreas;
K90;K93;Outras doenças do aparelho digestivo;Outras doenças do aparelho digestivo;
L00;L08;Infecções da pele e do tecido subcutâneo;Infecções da pele e do tecido subcutâneo;
L10;L14;Afecções bolhosas;Afecções bolhosas;
L20;L30;Dermatite e eczema;Dermatite e eczema;
L40;L45;Afecções pápulo-descamativas;Afecções pápulo-descamativas;
L50;L54;Urticária e eritema;Urticária e eritema;
L55;L59;Transtornos da pele e do tecido subcutâneo relacionados com a radiação;Transt pele e tecido subcutâneo relac c/radiação;
L60;L75;Afecções dos anexos da pele;Afecções dos anexos da pele;
L80;L99;Outras afecções da pele e do tecido subcutâneo;Outras afecções da pele e do tecido subcutâneo;
M00;M25;Artropatias;Artropatias;
M00;M03;Artropatias infecciosas;Artropatias infecciosas;
M05;M14;Poliartropatias inflamatórias;Poliartropatias inflamatórias;
M15;M19;Artroses;Artroses;
M20;M25;Outros transtornos articulares;Outros transtornos articulares;
M30;M36;Doenças sistêmicas do tecido conjuntivo;Doenças sistêmicas do tecido conjuntivo;
M40;M54;Dorsopatias;Dorsopatias;
M40;M43;Dorsopatias deformantes;Dorsopatias deformantes;
M45;M49;Espondilopatias;Espondilopatias;
M50;M54;Outras dorsopatias;Outras dorsopatias;
M60;M79;Transtornos dos tecidos moles;Transtornos dos tecidos moles;
M60;M63;Transtornos musculares;Transtornos musculares;
M65;M68;Transtornos das sinóvias e dos tendões;Transtornos das sinóvias e dos tendões;
M70;M79;Outros transtornos dos tecidos moles;Outros transtornos dos tecidos moles;
M80;M94;Osteopatias e condropatias;Osteopatias e condropatias;
M80;M85;Transtornos da densidade e da estrutura óssea;Transtornos da densidade e da estrutura óssea;
M86;M90;Outras osteopatias;Outras osteopatias;
M91;M94;Condropatias;Condropatias;
M95;M99;Outros transtornos do sistema osteomuscular e do tecido conjuntivo;Outr transt sist osteomuscular e tecido conjuntivo;
N00;N08;Doenças glomerulares;Doenças glomerulares;
N10;N16;Doenças renais túbulo-intersticiais;Doenças renais túbulo-intersticiais;
N17;N19;Insuficiência renal;Insuficiência renal;
N20;N23;Calculose renal;Calculose renal;
N25;N29;Outros transtornos do rim e do ureter;Outros transtornos do rim e do ureter;
N30;N39;Outras doenças do aparelho urinário;Outras doenças do aparelho urinário;
N40;N51;Doenças dos órgãos genitais masculinos;Doenças dos órgãos genitais masculinos;
N60;N64;Doenças da mama;Doenças da mama;
N70;N77;Doenças inflamatórias dos órgãos pélvicos femininos;Doenças inflamatórias órgãos pélvicos femininos;
N80;N98;Transtornos não-inflamatórios do trato genital feminino;Transt não-inflamatórios do trato genital feminino;
N99;N99;Outros transtornos do aparelho geniturinário;Outros transtornos do aparelho geniturinário;
O00;O08;Gravidez que termina em aborto;Gravidez que termina em aborto;
O10;O16;Edema, proteinúria e transtornos hipertensivos na gravidez, no parto e no puerpério;Edema proteinúr e transt hipert gravid parto puerp;
O20;O29;Outros transtornos maternos relacionados predominantemente com a gravidez;Outros transtornos maternos relac predom gravidez;
O30;O48;Assistência prestada à mãe por motivos ligados ao feto e à cavidade amniótica e por possíveis problemas relativos ao parto;Assist à mãe mot feto cavid amniót e prob rel part;
O60;O75;Complicações do trabalho de parto e do parto;Complicações do trabalho de parto e do parto;
O80;O84;Parto;Parto;
O85;O92;Complicações relacionadas predominantemente com o puerpério;Complicações relacionadas predom com o puerpério;
O94;O99;Outras afecções obstétricas não classificadas em outra parte;Outras afecções obstétricas NCOP;
P00;P04;Feto e recém-nascido afetados por fatores maternos e por complicações da gravidez, do trabalho de parto e do parto;Fet rec-nasc afet fat mat e compl grav, trab parto;
P05;P08;Transtornos relacionados com a duração da gestação e com o crescimento fetal;Transt relac com a duração gestação e cresc fetal;
P10;P15;Traumatismo de parto;Traumatismo de parto;
P20;P29;Transtornos respiratórios e cardiovasculares específicos do período perinatal;Transt respirat e cardiovasc específ per perinatal;
P35;P39;Infecções específicas do período perinatal;Infecções específicas do período perinatal;
P50;P61;Transtornos hemorrágicos e hematológicos do feto e do recém-nascido;Transt hemorrág e hematológ feto e recém-nascido;
P70;P74;Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido;Transt endócr e metaból trans espec fet e rec-nasc;
P75;P78;Transtornos do aparelho digestivo do feto ou do recém-nascido;Transt aparelho digestivo do feto ou recém-nascido;
P80;P83;Afecções comprometendo o tegumento e a regulação térmica do feto e do recém-nascido;Afecç comprom tegument e reg térm fet e recém-nasc;
P90;P96;Outros transtornos originados no período perinatal;Outros transtornos originados no período perinatal;
Q00;Q07;Malformações congênitas do sistema nervoso;Malformações congênitas do sistema nervoso;
Q10;Q18;Malformações congênitas do olho, do ouvido, da face e do pescoço;Malform congênitas do olho, ouvido, face e pescoço;
Q20;Q28;Malformações congênitas do aparelho circulatório;Malformações congênitas do aparelho circulatório;
Q30;Q34;Malformações congênitas do aparelho respiratório;Malformações congênitas do aparelho respiratório;
Q35;Q37;Fenda labial e fenda palatina;Fenda labial e fenda palatina;
Q38;Q45;Outras malformações congênitas do aparelho digestivo;Outras malformações congênitas aparelho digestivo;
Q50;Q56;Malformações congênitas dos órgãos genitais;Malformações congênitas dos órgãos genitais;
Q60;Q64;Malformações congênitas do aparelho urinário;Malformações congênitas do aparelho urinário;
Q65;Q79;Malformações e deformidades congênitas do sistema osteomuscular;Malform e deform congênit do sistema osteomuscular;
Q80;Q89;Outras malformações congênitas;Outras malformações congênitas;
Q90;Q99;Anomalias cromossômicas não classificadas em outra parte;Anomalias cromossômicas NCOP;
R00;R09;Sintomas e sinais relativos ao aparelho circulatório e respiratório;Sint e sinais relat aparelho circulat e respirat;
R10;R19;Sintomas e sinais relativos ao aparelho digestivo e ao abdome;Sintom e sinais relat ao aparelho digest e abdome;
R20;R23;Sintomas e sinais relativos à pele e ao tecido subcutâneo;Sintom e sinais relat à pele e tecido subcutâneo;
R25;R29;Sintomas e sinais relativos aos sistemas nervoso e osteomuscular;Sint e sinais relat sist nervoso e osteomuscular;
R30;R39;Sintomas e sinais relativos ao aparelho urinário;Sintomas e sinais relativos ao aparelho urinário;
R40;R46;Sintomas e sinais relativos à cognição, à percepção, ao estado emocional e ao comportamento;Sint e sinais rel cogn percep estado emoc e compor;
R47;R49;Sintomas e sinais relativos à fala e à voz;Sintomas e sinais relativos à fala e à voz;
